2% Long Anneal

wavelength (microns), Re(index)
1.10585, 1.48116
1.10539, 1.48117
1.10522, 1.48117
1.10522, 1.48117
1.10494, 1.48117
1.10448, 1.48118
1.10402, 1.48118
1.10356, 1.48119
1.10311, 1.48119
1.10311, 1.48119
1.10265, 1.4812
1.10219, 1.4812
1.10176, 1.48121
1.10176, 1.48121
1.10174, 1.48121
1.10128, 1.48122
1.10083, 1.48122
1.10037, 1.48123
1.09992, 1.48123
1.09946, 1.48124
1.09901, 1.48124
1.09856, 1.48125
1.0983, 1.48125
1.0983, 1.48125
1.0981, 1.48126
1.09765, 1.48126
1.0972, 1.48127
1.09675, 1.48127
1.0963, 1.48128
1.09585, 1.48128
1.09539, 1.48129
1.09494, 1.4813
1.09483, 1.4813
1.09483, 1.4813
1.09449, 1.4813
1.09405, 1.48131
1.0936, 1.48131
1.09315, 1.48132
1.0927, 1.48132
1.09225, 1.48133
1.0918, 1.48134
1.0918, 1.48134
1.09137, 1.48134
1.09137, 1.48134
1.09136, 1.48134
1.09091, 1.48135
1.09046, 1.48135
1.09002, 1.48136
1.08957, 1.48136
1.08913, 1.48137
1.08868, 1.48137
1.08824, 1.48138
1.08791, 1.48138
1.08791, 1.48138
1.08779, 1.48139
1.08735, 1.48139
1.0869, 1.4814
1.08646, 1.4814
1.08602, 1.48141
1.08557, 1.48141
1.08513, 1.48142
1.08469, 1.48143
1.08444, 1.48143
1.08444, 1.48143
1.08425, 1.48143
1.08381, 1.48144
1.08337, 1.48144
1.08293, 1.48145
1.08249, 1.48145
1.08205, 1.48146
1.08161, 1.48146
1.08117, 1.48147
1.08098, 1.48147
1.08098, 1.48147
1.08073, 1.48148
1.08073, 1.48148
1.08029, 1.48148
1.07985, 1.48149
1.07942, 1.48149
1.07898, 1.4815
1.07854, 1.4815
1.07811, 1.48151
1.07767, 1.48152
1.07752, 1.48152
1.07752, 1.48152
1.07723, 1.48152
1.0768, 1.48153
1.07636, 1.48153
1.07593, 1.48154
1.07549, 1.48154
1.07506, 1.48155
1.07463, 1.48155
1.07419, 1.48156
1.07405, 1.48156
1.07405, 1.48156
1.07376, 1.48157
1.07333, 1.48157
1.0729, 1.48158
1.07246, 1.48158
1.07203, 1.48159
1.0716, 1.48159
1.07117, 1.4816
1.07074, 1.48161
1.07059, 1.48161
1.07059, 1.48161
1.07031, 1.48161
1.06988, 1.48162
1.06988, 1.48162
1.06945, 1.48162
1.06902, 1.48163
1.06859, 1.48163
1.06816, 1.48164
1.06774, 1.48164
1.06731, 1.48165
1.06713, 1.48165
1.06713, 1.48165
1.06688, 1.48166
1.06645, 1.48166
1.06603, 1.48167
1.0656, 1.48167
1.06517, 1.48168
1.06475, 1.48168
1.06432, 1.48169
1.0639, 1.48169
